NAME,PROTISTS,PROKARYOTES,INVERTEBRATES,VERTEBRATES,PLANTS,FUNGI,VIROPHAGE
Ackermannviridae,0,1,0,0,0,0,0
Adenoviridae,0,0,0,1,0,0,0
Adintoviridae,0,0,1,0,0,0,0
Adomaviridae,0,0,0,1,0,0,0
Aggregaviridae,0,1,0,0,0,0,0
Alloherpesviridae,0,0,0,1,0,0,0
Alphaflexiviridae,0,0,0,0,1,1,0
Alternaviridae,0,0,0,0,0,1,0
Amalgaviridae,0,0,0,0,1,1,0
Anelloviridae,0,0,0,1,0,0,0
Arenaviridae,0,0,0,1,0,0,0
Arteriviridae,0,0,0,1,0,0,0
Artoviridae,0,0,1,0,0,0,0
Ascoviridae,0,0,1,0,0,0,0
Asfarviridae,0,0,1,1,0,0,0
Assiduviridae,0,1,0,0,0,0,0
Astroviridae,0,0,0,1,0,0,0
Atkinsviridae,0,1,0,0,0,0,0
Autographiviridae,0,1,0,0,0,0,0
Bacilladnaviridae,1,0,0,0,0,0,0
Baculoviridae,0,0,1,0,0,0,0
Benyviridae,0,0,0,0,1,0,0
Betaflexiviridae,0,0,0,0,1,1,0
Bicaudaviridae,0,1,0,0,0,0,0
Bidnaviridae,0,0,1,0,0,0,0
Birnaviridae,0,0,1,1,0,0,0
Bornaviridae,0,0,0,1,0,0,0
Botourmiaviridae,0,0,0,0,1,1,0
Bromoviridae,0,0,0,0,1,0,0
Caliciviridae,0,0,0,1,0,0,0
Casjensviridae,0,1,0,0,0,0,0
Caulimoviridae,0,0,1,0,1,0,0
Chaseviridae,0,1,0,0,0,0,0
Chrysoviridae,0,0,0,0,0,1,0
Chuviridae,0,0,1,0,0,0,0
Circoviridae,0,0,0,1,0,0,0
Closteroviridae,0,0,0,0,1,0,0
Coronaviridae,0,0,0,1,0,0,0
Corticoviridae,0,1,0,0,0,0,0
Cruciviridae,0,1,0,0,0,0,0
Cystoviridae,0,1,0,0,0,0,0
Deltaflexiviridae,0,0,0,0,0,1,0
Demerecviridae,0,1,0,0,0,0,0
Dicistroviridae,0,0,1,0,0,0,0
Discoviridae,0,0,0,0,0,1,0
Drexlerviridae,0,1,0,0,0,0,0
Duneviridae,0,1,0,0,0,0,0
Endornaviridae,1,0,0,0,1,1,0
Fiersviridae,0,1,0,0,0,0,0
Filoviridae,0,0,0,1,0,0,0
Fimoviridae,0,0,0,0,1,0,0
Flaviviridae,0,0,1,1,0,0,0
Forsetiviridae,0,1,0,0,0,0,0
Fusariviridae,0,0,0,0,0,1,0
Fuselloviridae,0,1,0,0,0,0,0
Gammaflexiviridae,0,0,0,0,0,1,0
Geminiviridae,0,0,1,0,1,0,0
Genomoviridae,0,0,0,0,0,1,0
Globuloviridae,0,1,0,0,0,0,0
Graaviviridae,0,1,0,0,0,0,0
Guelinviridae,0,1,0,0,0,0,0
Guttaviridae,0,1,0,0,0,0,0
Hafunaviridae,0,1,0,0,0,0,0
Haloferuviridae,0,1,0,0,0,0,0
Hantaviridae,0,0,0,1,0,0,0
